,name,brewery_type,city,state,postal_code,country,longitude,latitude
1955,Crystal Springs Brewing Co,micro,Louisville,Colorado,80027-3063,United States,-105.119781,39.964883
2043,Declaration Brewing Company,micro,Denver,Colorado,80223-3917,United States,-104.99100559999998,39.67973155
2073,Denver Beer Co Canworks,micro,Denver,Colorado,80211-2412,United States,-105.00083020000001,39.7769429
2074,Denver Beer Co,micro,Denver,Colorado,80202-1123,United States,-105.00725020000002,39.758314299999995
2075,Denver Beer Co Olde Town Arvada,micro,Arvada,Colorado,80002-2549,United States,-105.0814554,39.801625
2094,DeSteeg Brewing Co/Blind Faith Brewing,micro,Denver,Colorado,80212-2308,United States,-105.0438193,39.7760619
2129,Diebolt Brewing,micro,Denver,Colorado,80211-2647,United States,-105.00320790000002,39.770332
2131,Dillon Dam Brewery,brewpub,Dillon,Colorado,80435-4845,United States,-106.0603129,39.62760465
2174,Dodgeton Creek Brewing Co.,planning,Trinidad,Colorado,81082-9788,United States,-104.50054109999999,37.169397
2186,Dolores River Brewery,brewpub,Dolores,Colorado,81323-1003,United States,-108.504562,37.47323
2195,Dos Luces Brewery,contract,Denver,Colorado,80210-1504,United States,-104.9874923,39.68300670000001
2196,Dostal Alley Brewing Co,brewpub,Central City,Colorado,80427,United States,-105.512426,39.80014310000001
2250,Dry Dock Brewing Co - North Dock,regional,Aurora,Colorado,80011-3508,United States,-104.77240400000001,39.758038
2251,Dry Dock Brewing Co- South Dock,micro,Aurora,Colorado,80014-3906,United States,-104.76800959999998,39.6529424
2267,Dueces Wild Brewery,micro,Colorado Springs,Colorado,80915-4002,United States,-104.70343179999999,38.8877651
2281,Durango Brewing Co,brewpub,Durango,Colorado,81301-4245,United States,-107.871981,37.297647
2326,Echo Brewing Cask and Barrel,brewpub,Erie,Colorado,80516-0794,United States,-105.0477679,40.05042825
2327,Echo Brewing Company,brewpub,Frederick,Colorado,80530,United States,-104.944202,40.111447999999996
2335,Eddyline Brewing LLC,micro,Buena Vista,Colorado,81211-5106,United States,-106.131606,38.84025
2340,Edgewater Brewery,brewpub,Grand Junction,Colorado,81501-3804,United States,-108.5575144,39.05565588
2364,Elevation Beer Company,micro,Poncha Springs,Colorado,81242,United States,-106.0659377,38.51804434
2370,Elk Avenue Brewing Company,brewpub,Crested Butte,Colorado,81224,United States,-106.9861689,38.86984685
2413,Endo Brewing Company,micro,Lafayette,Colorado,80026-8023,United States,-105.1341065,40.014431099999996
2426,"Epic Brewing Co., LLC",micro,Denver,Colorado,80205-2324,United States,-104.9813405,39.7632294
2434,Equinox Brewing,micro,Fort Collins,Colorado,80524-2833,United States,-105.07571340000001,40.5863266
2444,Estes Park Brewery,micro,Estes Park,Colorado,80517,United States,-105.52613170000001,40.3714876
2476,Factotum Brewhouse,micro,Denver,Colorado,80211-2651,United States,-105.0020653,39.770204299999996
2520,FATE Brewing Company,brewpub,Boulder,Colorado,80301-2610,United States,-105.2454818,40.0149794
2542,Fermaentra,micro,Denver,Colorado,80210-4601,United States,-104.94286310000001,39.6784277
2552,FH Beerworks,micro,Colorado Springs,Colorado,80903-3928,United States,-104.82373179999999,38.8260086
2555,Fiction Beer Company,micro,Denver,Colorado,80220-1805,United States,-104.8854207,39.740218799999994
2652,Floodstage Ale Works,brewpub,Brighton,Colorado,80601-1611,United States,-104.82210090000001,39.98456564
2653,Florence Brewing Company,micro,Florence,Colorado,81226-1433,United States,-105.1177755,38.3899222
2922,Glenwood Canyon Brewing Co,brewpub,Glenwood Springs,Colorado,81601-3406,United States,-107.323424,39.5476563
2936,Gold Camp Brewing Co,micro,Colorado Springs,Colorado,80903-4238,United States,-104.823552,38.8195724
2939,Golden Block Brewery,brewpub,Silverton,Colorado,81433,United States,-107.6642307,37.81194434
2940,Golden City Brewery,brewpub,Golden,Colorado,80401-1181,United States,-105.22278130000001,39.75471167
2949,Goldspot Brewing Co,micro,Denver,Colorado,80221-1028,United States,-105.03435449999999,39.7868924
2964,Good River Beer Company,contract,Denver,Colorado,80223,United States,-104.9898169,39.68421218
3001,Gore Range Brewery,brewpub,Edwards,Colorado,81632-2970,United States,-106.59532279999999,39.64367461
3015,Grand Adventure Brewing Company,brewpub,Kremmling,Colorado,80459,United States,-106.3925656,40.0599844
3021,"Grand Lake Brewing Co, The",brewpub,Arvada,Colorado,80002-2446,United States,-105.08245600000001,39.79927412
3028,Grandma's House,micro,Denver,Colorado,80210-3102,United States,-104.9872737,39.74350567
3100,Great Divide Brewing Co,regional,Denver,Colorado,80205-2512,United States,-104.98852790000001,39.7539229
3101,Great Divide Brewing Co - RiNo Barrel Bar,micro,Denver,Colorado,80216-3665,United States,-104.979247,39.770332200000006
3106,Great Frontier Brewing Company,micro,Lakewood,Colorado,80227-2050,United States,-105.1177216,39.6813614
3193,"Guanella Pass Brewing Company, LLC",micro,Georgetown,Colorado,80444,United States,-105.697303,39.705771999999996
3360,High Alpine Brewing Company,brewpub,Gunnison,Colorado,81230-2330,United States,-106.92703770000001,38.54462278
3368,High Hops Brewery,micro,Windsor,Colorado,80550-3010,United States,-104.9357557,40.4799901
3382,HighSide Brewery,micro,Frisco,Colorado,80443,United States,-106.0935416,39.57663329
3419,Hogshead Brewery,micro,Denver,Colorado,80212-3015,United States,-105.04506,39.758232
3523,Horsefly Brewing Co,brewpub,Montrose,Colorado,81401-3938,United States,-107.871306,38.48272365
3620,Industrial Revolution Brewing Company,micro,Erie,Colorado,80516-8464,United States,-105.04775559999999,40.05161529
3664,Iron Bird Brewing Co.,brewpub,Colorado Springs,Colorado,80903-2110,United States,-104.82237990000002,38.8280292
3701,Irwin Brewing Company,micro,Crested Butte,Colorado,81224-8706,United States,-106.98530120000001,38.86695573
3717,J. Fargo's Family Dining & Micro Brewery / Coyote J Brewing Co,brewpub,Cortez,Colorado,81321-2910,United States,-108.570199,37.348775
3719,J Moe's Brewing Company,brewpub,Denver,Colorado,80229-6302,United States,-104.9791943,39.7800007
3739,Jagged Mountain Brewery,micro,Denver,Colorado,80202-1811,United States,-104.9913673,39.7522457
3762,Jessup Farm Barrel House,micro,Fort Collins,Colorado,80525-2551,United States,-105.0380013,40.5620458
3791,Joyride Brewing Co,micro,Edgewater,Colorado,80214-1330,United States,-105.05349199999999,39.7531231
3817,Kannah Creek Brewing Co,brewpub,Grand Junction,Colorado,81501-2912,United States,-108.5522615,39.08513947
3925,Kokopelli Beer Company,brewpub,Westminster,Colorado,80031-2931,United States,-105.06403859999999,39.8590102
3954,Lady Justice Brewing Company,micro,Denver,Colorado,80212-7308,United States,-105.05933929999999,39.7909855
3975,Lake City Brewing Company,brewpub,Lake City,Colorado,81235,United States,-107.31913349999999,38.02729486
4009,Lariat Lodge Brewing,brewpub,Evergreen,Colorado,80439-8462,United States,-105.3136925,39.63935145
4029,Launch Pad Brewery,micro,Aurora,Colorado,80017-3174,United States,-104.7911253,39.685303600000005
4062,Left Hand Brewing Company,regional,Longmont,Colorado,80501-5809,United States,-105.11684029999999,40.158688
4154,Little Machine,micro,Denver,Colorado,80211-4622,United States,-105.0243557,39.7474051
4174,Local Relic,brewpub,Colorado Springs,Colorado,80903-2125,United States,-104.82038659999999,38.82871975
4200,Lone Tree Brewing Co,micro,Lone Tree,Colorado,80124-2746,United States,-104.8942075,39.56298697
4210,Long Table Brewing,micro,Denver,Colorado,80207-2748,United States,-104.928343,39.75818024
4244,Lost Friend Brewing Company,micro,Colorado Springs,Colorado,80918-1974,United States,-104.7823626,38.9082661
4267,Loveland Aleworks,micro,Loveland,Colorado,80537-5523,United States,-105.0769672,40.39541012
4298,Lumpy Ridge Brewing Co,micro,Estes Park,Colorado,80517-7416,United States,-105.503658,40.367158
4332,Mad Jack's Mountain Brewery,micro,Bailey,Colorado,80421,United States,-105.4774352,39.40651269
4359,Mahogany Ridge Brewery & Grill,brewpub,Steamboat Springs,Colorado,80477-5084,United States,-106.83068829999999,40.48389236
4368,Main Street Brewery/Four Corners,brewpub,Cortez,Colorado,81321-3240,United States,-108.58466440000001,37.3484244
4387,Manitou Brewing Company,brewpub,Manitou Springs,Colorado,80829-1809,United States,-104.9157413,38.8569869
4428,Mash Lab Brewing,micro,Windsor,Colorado,80550-8007,United States,-104.9677936,40.438699799999995
4453,Maxline Brewing,micro,Fort Collins,Colorado,80525-2575,United States,-105.07974890000001,40.55059012
4461,McClellan's Brewing Company,brewpub,Fort Collins,Colorado,80521-4222,United States,-105.11518059999999,40.573795200000006
4579,MillerCoors Brewing Co - Golden,large,Golden,Colorado,80401-5811,United States,-105.21959199999999,39.759495
4626,Mockery Brewing,micro,Denver,Colorado,80216-3617,United States,-104.97973490000001,39.7712389
4675,Moonlight Pizza,brewpub,Salida,Colorado,81201-2104,United States,-105.9931616,38.53502271
4701,Mother Tucker Brewery,micro,Thornton,Colorado,80233-1408,United States,-104.9582581,39.91402476
4711,Mountain Cowboy Brewing Company,brewpub,Frederick,Colorado,80530,United States,-104.93697959999999,40.09855473
4717,Mountain Sun Pub and Brewery,brewpub,Boulder,Colorado,80302-5408,United States,-105.2752277,40.0190131
4718,Mountain Tap Brewery,brewpub,Steamboat Springs,Colorado,80487,United States,-106.8355071,40.4853039
4719,Mountain Toad Brewing,micro,Golden,Colorado,80401-1047,United States,-105.22425630000001,39.75807905
4794,Never Summer Brewing Co,micro,Granby,Colorado,80446,United States,-105.9415686,40.0855713
4802,New Belgium Brewing Co,regional,Fort Collins,Colorado,80524-2457,United States,-105.0678422,40.59335825
4823,New Image Brewing Co,brewpub,Arvada,Colorado,80002-2446,United States,-105.0824595,39.79938347
4839,New Terrain Brewing Company,micro,Golden,Colorado,80403-1863,United States,-105.18510359999999,39.77781975
4943,Novel Strand Brewing,micro,Denver,Colorado,80223-1509,United States,-104.9923182,39.718471
5006,Odd13 Brewing Inc,micro,Lafayette,Colorado,80026-2325,United States,-105.08788390000001,39.9983626
5013,Odell Brewing Co - Denver,micro,Denver,Colorado,80205-2308,United States,-104.9810078,39.76214470000001
5014,Odell Brewing Co,regional,Fort Collins,Colorado,80524-2507,United States,-105.0633327,40.5895239
5158,Oskar Blues Brewery - Lyons,brewpub,Lyons,Colorado,80540,United States,-105.26769340000001,40.22451332
5169,Our Mutual Friend Brewing,micro,Denver,Colorado,80205-2223,United States,-104.98255959999999,39.7605777
5170,Ouray Brewery,brewpub,Ouray,Colorado,81427-,United States,-107.6712878,38.0229071
5171,Ourayle House Brewery,micro,Ouray,Colorado,81427-0630,United States,-107.67140479999999,38.02402041
5180,Outer Range Brewing Co,micro,Frisco,Colorado,80443-6601,United States,-106.0989298,39.5892615
5224,Palisade Brewing Company,brewpub,Palisade,Colorado,81526,United States,-108.3542553,39.11109565
5238,Paonia United Brewing Company,micro,Paonia,Colorado,81428,United States,-107.5976969,38.86899455
5246,Paradox Beer Co,micro,Divide,Colorado,80814-9178,United States,-105.1550486,38.94440915
5278,Pdub Brewing Co,brewpub,Pueblo,Colorado,81007-5081,United States,-104.70841750000001,38.3164023
5283,Peak To Peak Tap & Brew,brewpub,Aurora,Colorado,80013-1148,United States,-104.8366181,39.6750535
5284,Peak To Peak Tap & Brew,micro,Aurora,Colorado,80010,United States,-104.85052990000001,39.7402157
5287,Peaks N Pines Brewing Company,micro,Colorado Springs,Colorado,80922-2508,United States,-104.71460450000001,38.88965993
5319,Periodic Brewing LLC,brewpub,Leadville,Colorado,80461-3505,United States,-106.2917767,39.2496419
5320,Periodic Brewing Northglenn,micro,Northglenn,Colorado,80233-2345,United States,-104.96194950000002,39.89940226
5336,Phantom Canyon Brewing Co,brewpub,Colorado Springs,Colorado,80903-1504,United States,-104.8249314,38.83423935
5362,Pilothouse Brewing Company,micro,Aurora,Colorado,80013-2947,United States,-104.7915508,39.63993222
5381,Pints Pub Brewery and Freehouse,brewpub,Denver,Colorado,80204-2711,United States,-104.9908538,39.737018
5388,Pitchers Sports Restaurant and Brewery,brewpub,Fort Collins,Colorado,80526-6008,United States,-105.09739590000001,40.55306785
5411,Platt Park Brewing Co.,micro,Denver,Colorado,80210-3136,United States,-104.98059669999999,39.68267416
5505,Prost Brewing,micro,Denver,Colorado,80211-3910,United States,-105.00677579999999,39.761363
5521,Pug Ryan's Brewing Company,brewpub,Dillon,Colorado,80435-2515,United States,-106.0467598,39.62832675
5524,Pumphouse Brewery and Restaurant,brewpub,Longmont,Colorado,80501-5537,United States,-105.10209990000001,40.1687619
5579,Rails End Beer Company,micro,Broomfield,Colorado,80020-2834,United States,-105.07503020000001,39.9084879
5618,Ratio Beerworks,micro,Denver,Colorado,80205-2309,United States,-104.98121809999999,39.7615104
5661,Red Mountain Brewing,brewpub,Ouray,Colorado,81427,United States,-107.67161499999999,38.020713
5672,Red Truck Beer Company Ltd.,micro,Fort Collins,Colorado,80524-2509,United States,-105.05848950000001,40.58916845
5676,Redgarden Brewery,brewpub,Louisville,Colorado,80027-1102,United States,-105.1138827,39.9674475
5696,Renegade Brewing Company,micro,Denver,Colorado,80223-1534,United States,-104.99926370000001,39.71831392
5697,Renegade Brewing Company - Production,micro,Denver,Colorado,80223-1534,United States,-104.99926370000001,39.71831392
5737,Riff Raff Brewing,brewpub,Pagosa Springs,Colorado,81147,United States,-107.00815459999998,37.26874006
5814,Rock Bottom Brewery - Centerra Promenade,brewpub,Loveland,Colorado,80538-9013,United States,-104.990385,40.418114
5818,Rock Bottom Brewery - Colorado Springs,brewpub,Colorado Springs,Colorado,80922,United States,-104.718194,38.8811909
5839,Rock Cut Brewing Company,micro,Estes Park,Colorado,80517,United States,-105.5232105,40.37237825
5858,Rockslide Brewing Co,brewpub,Grand Junction,Colorado,81501-2511,United States,-108.5659153,39.0670106
5865,"Rocky Mountain Taphouse, LLC",micro,Greeley,Colorado,80634-9604,United States,-104.7859342,40.387892
5869,Rockyard Brewing Company,brewpub,Castle Rock,Colorado,80109-7512,United States,-104.87233940000002,39.4096188
5929,Royal Gorge Brew Pub,brewpub,Canon City,Colorado,81212-3733,United States,-105.2418113,38.44010539
5992,Saint Patrick's Brewing Company,micro,Littleton,Colorado,80120-1843,United States,-105.024584,39.6125875
6023,San Luis Valley Brewing Co,brewpub,Alamosa,Colorado,81101-2557,United States,-105.8742898,37.4681813
6133,Seedstock Brewery,micro,Denver,Colorado,80204-1513,United States,-105.0348519,39.74025203
6169,Shamrock Brewing Company,brewpub,Pueblo,Colorado,81003-3225,United States,-104.60786440000001,38.26965302
6180,Sherpa Brewery Pvt. Ltd.,contract,Golden,Colorado,80401-2507,United States,-105.1963424,39.7443713
6277,Sleeping Giant Brewing Company,micro,Denver,Colorado,80204-4803,United States,-105.0167729,39.723797499999996
6317,Smuggler's Brewpub,brewpub,Telluride,Colorado,81435,United States,-107.8114274,37.9358018
6418,Spangalang Brewery,micro,Denver,Colorado,80205-2900,United States,-104.9770361,39.755222700000004
6426,Spice Trade Brewing,brewpub,Arvada,Colorado,80002-2433,United States,-105.08417309999999,39.802334
6448,Square Peg Brewerks,micro,Alamosa,Colorado,81101-2557,United States,-105.8742898,37.4681813
6501,Station 26 Brewing Co,micro,Denver,Colorado,80207-1541,United States,-104.9062608,39.76935335
6512,Steamworks Brewing Co,brewpub,Durango,Colorado,81301-5425,United States,-107.87978999999999,37.272176
6524,Stein Brewing Company,micro,Boulder,Colorado,80301-2455,United States,-105.23783229999998,40.0238083
6622,Suds Brothers Brewing Co #2,brewpub,Fruita,Colorado,81521-2543,United States,-108.7326881,39.159162200000004
6796,The Bakers' Brewery,brewpub,Silverthorne,Colorado,80498,United States,-106.06720020000002,39.62976193
6819,The Brew On Broadway (The BoB),micro,Englewood,Colorado,80113-2528,United States,-104.98772,39.65416792
6865,The Grateful Gnome Sandwich Shoppe and Brewery,brewpub,Denver,Colorado,80212-2335,United States,-105.0432655,39.7764426
6876,The Intrepid Sojourner Beer Project,micro,Denver,Colorado,80204-4333,United States,-104.9993865,39.7291386
6884,The Larimer Beer Company,contract,Denver,Colorado,80207-1508,United States,-104.9093487,39.76773768
6922,The Post Brewing Co,brewpub,Boulder,Colorado,80302-5201,United States,-105.27889420000001,40.01847649
6923,The Post Brewing Co,brewpub,Lafayette,Colorado,80026-1501,United States,-105.0913165,39.99461105
6936,The Sandlot Brewery At Coors Field,large,Denver,Colorado,80205-2010,United States,-104.99264840000002,39.75571836
6985,Thirsty Monk Pub Brewery,micro,Denver,Colorado,80218-1621,United States,-104.96825079999999,39.743154
7002,Three Barrel Brewing Co,brewpub,del Norte,Colorado,81132-2204,United States,-106.35671090000001,37.6790756
7011,Three Four Beer Company,brewpub,Fort Collins,Colorado,80521-3599,United States,-105.0959634,40.5726176
7050,Tilted Barrel Brew Pub,contract,Loveland,Colorado,80538,United States,-105.07731670000001,40.42158016
7087,Tommyknocker Brewery & Pub,micro,Idaho Springs,Colorado,80452,United States,-105.51767749999999,39.7417505
7202,Tumbleweed Brewing and Wine Company,brewpub,Yuma,Colorado,80759,United States,-102.7238865,40.12462759
7269,Two Rascals Brewing Co,micro,Montrose,Colorado,81401-3601,United States,-107.8800003,38.4788199
7277,Two22 Brew,micro,Centennial,Colorado,80015-2878,United States,-104.7601698,39.63429093
7331,Upslope Brewing Company - Flatiron Park,micro,Boulder,Colorado,80301-2860,United States,-105.21831359999999,40.0203098
7358,Ute Pass Brewing Co,brewpub,Woodland Park,Colorado,80863-3101,United States,-105.05133570000001,38.9944899
7362,Uturn BBQ,brewpub,Lafayette,Colorado,80026-1797,United States,-105.10161629999999,40.003530700000006
7396,Verboten Brewing,micro,Loveland,Colorado,80537-5503,United States,-105.0749674,40.39658612
7406,Veteran Brothers Brewing Company,brewpub,Johnstown,Colorado,80534,United States,-104.9061919,40.33713
7422,Vine Street Pub & Brewery,brewpub,Denver,Colorado,80206-1120,United States,-104.96274209999999,39.7434087
7466,Walter Brewing Company,micro,Pueblo,Colorado,81003-3424,United States,-104.6103677,38.26241645
7517,WeldWerks Brewing Co.,micro,Greeley,Colorado,80631-3921,United States,-104.6911497,40.3998251
7528,West Flanders Brewing Co,brewpub,Boulder,Colorado,80302-5103,United States,-105.260866,40.0217453
7541,Westbound & Down Brewing Company,brewpub,Idaho Springs,Colorado,80452,United States,-105.5155002,39.7419049
7545,WestFax Brewing Co.,micro,Lakewood,Colorado,80214-1807,United States,-105.07108390000002,39.7415749
7570,Whistle Pig Brewing Company,micro,Colorado Springs,Colorado,80918-1467,United States,-104.7931723,38.92372675
7601,Wibby Brewing,micro,Longmont,Colorado,80501-5910,United States,-105.1002098,40.1623965
7636,Wild Woods Brewery,micro,Boulder,Colorado,80301-2724,United States,-105.2258104,40.0162153
7638,WildEdge Brewing Collective,brewpub,Cortez,Colorado,81321-3214,United States,-108.5853117,37.34990058
7685,Wonderland Brewing Co.,micro,Broomfield,Colorado,80020-5913,United States,-105.05608190000001,39.91349895
7711,Woods Boss Brewing Company,micro,Denver,Colorado,80205-2824,United States,-104.98453740000001,39.7509153
7735,Wynkoop Brewing Co,brewpub,Denver,Colorado,80202-1212,United States,-104.9984831,39.7535446
7792,Zuni Street Brewing Company,micro,Denver,Colorado,80211-3753,United States,-105.015409,39.758592900000004
